hani	latn
東	tug
菄	tug
鶇	tug
䍶	tug
𠍀	tug
倲	tug
𩜍	tug
𢘐	tug
涷	tug
蝀	tug
凍	tug
鯟	tug
𢔅	tug
崠	tug
埬	tug
𧓕	tug
䰤	tug
同	dug
仝	dug
童	dug
僮	dug
銅	dug
桐	dug
峒	dug
硐	dug
𦨴	dug
𧱁	dug
筒	dug
瞳	dug
㼧	dug
𤭁	dug
罿	dug
犝	dug
筩	dug
潼	dug
曈	dug
洞	dug
侗	dug
橦	dug
烔	dug
䴀	dug
挏	dug
酮	dug
鮦	dug
㼿	dug
𦏆	dug
𦍻	dug
眮	dug
蕫	dug
穜	dug
衕	dug
𩍅	dug
𢈉	dug
䆚	dug
哃	dug
𢏕	dug
絧	dug
𨚯	dug
𨝯	dug
𪔝	dug
𩦶	dug
𪒿	dug
中	tryug
衷	tryug
忠	tryug
𦬕	tryug
蟲	dryug
沖	dryug
种	dryug
盅	dryug
爞	dryug
𦬕	dryug
翀	dryug
終	tyug
衆	tyug
潨	tyug
𣧩	tyug
螽	tyug
𧑄	tyug
鼨	tyug
蔠	tyug
柊	tyug
𩅧	tyug
䶱	tyug
鴤	tyug
䈺	tyug
泈	tyug
䝦	tyug
忡	ŧryug
浺	ŧryug
盅	ŧryug
崇	d̦ryug
崈	d̦ryug
㓽	d̦ryug
𩞉	d̦ryug
嵩	syug
崧	syug
𪀚	syug
娀	syug
菘	syug
硹	syug
㣝	syug
𧊕	syug
𨱿	syug
戎	nyug
𢦦	nyug
茙	nyug
㭜	nyug
駥	nyug
𥬪	nyug
𠈋	nyug
狨	nyug
絨	nyug
弓	kyug
躳	kyug
躬	kyug
㴦	kyug
宮	kyug
匑	kyug
融	jyug
肜	jyug
瀜	jyug
雄	hyug
熊	hyug
瞢	myug
夢	myug
𨞯	myug
懜	myug
𦫰	myug
𧲎	myug
穹	ꝁyug
𢞏	ꝁyug
焪	ꝁyug
芎	ꝁyug
𦵡	ꝁyug
匑	ꝁyug
𥳎	ꝁyug
窮	cyug
藭	cyug
𥨪	cyug
馮	byug
堸	byug
汎	byug
芃	byug
𨝭	byug
渢	byug
梵	byug
風	pyug
飌	pyug
楓	pyug
猦	pyug
偑	pyug
檒	pyug
𧆉	pyug
豐	ꝑyug
酆	ꝑyug
蘴	ꝑyug
灃	ꝑyug
寷	ꝑyug
麷	ꝑyug
㒥	ꝑyug
㠦	ꝑyug
充	ŧyug
珫	ŧyug
茺	ŧyug
㤝	ŧyug
䘪	ŧyug
𪎽	ŧyug
㳘	ŧyug
隆	lyug
癃	lyug
𪔳	lyug
窿	lyug
霳	lyug
㚅	lyug
空	ꝁug
箜	ꝁug
崆	ꝁug
椌	ꝁug
硿	ꝁug
䅝	ꝁug
悾	ꝁug
埪	ꝁug
倥	ꝁug
涳	ꝁug
鵼	ꝁug
𦱇	ꝁug
𢃐	ꝁug
𧌆	ꝁug
公	kug
功	kug
工	kug
疘	kug
蚣	kug
玒	kug
釭	kug
魟	kug
攻	kug
㓚	kug
愩	kug
碽	kug
篢	kug
蒙	mug
冡	mug
濛	mug
𩦺	mug
艨	mug
䑃	mug
矇	mug
饛	mug
䰒	mug
檬	mug
𨢊	mug
䴿	mug
𨣘	mug
鸏	mug
幪	mug
罞	mug
𢄐	mug
髳	mug
蠓	mug
𦿏	mug
雺	mug
霿	mug
霚	mug
朦	mug
䀄	mug
懜	mug
霥	mug
籠	lug
豅	lug
㰍	lug
朧	lug
𡃡	lug
龓	lug
䪊	lug
瀧	lug
聾	lug
𨏠	lug
礱	lug
䆍	lug
𪚗	lug
嚨	lug
蘢	lug
櫳	lug
𤮨	lug
巃	lug
襱	lug
𧙥	lug
瓏	lug
曨	lug
鸗	lug
